hijacker ASN,AVG,success, partial, failure,linkLevel
400309,31.072874493927124,1,305,188,2
199610,33.40080971659919,15,300,179,2
134078,31.477732793522268,2,307,185,2
140224,32.18623481781376,1,316,177,2
142273,30.97165991902834,1,304,189,2
9153,32.89473684210526,12,301,181,2
132046,31.57894736842105,2,308,184,2
11227,31.17408906882591,1,306,187,2
134118,31.072874493927124,1,305,188,2
56298,30.97165991902834,1,304,189,2
56308,31.983805668016196,1,314,179,2
56311,31.072874493927124,1,305,188,2
134148,31.68016194331984,4,305,185,2
136202,31.072874493927124,1,305,188,2
37900,31.072874493927124,1,305,188,2
9229,30.97165991902834,1,304,189,2
9244,31.477732793522268,3,305,186,2
9246,32.48987854251012,2,317,175,2
136223,30.97165991902834,1,304,189,2
29748,31.781376518218625,2,310,182,2
58460,31.072874493927124,2,303,189,2
9312,31.68016194331984,2,309,183,2
23661,31.37651821862348,1,308,185,2
23665,30.97165991902834,1,304,189,2
9332,31.072874493927124,1,305,188,2
50300,37.65182186234818,44,284,166,2
17545,30.97165991902834,1,304,189,2
50314,31.37651821862348,1,308,185,2
38028,30.97165991902834,1,304,189,2
17554,31.37651821862348,1,308,185,2
3225,31.17408906882591,1,306,187,2
205988,31.275303643724698,1,307,186,2
27822,30.97165991902834,1,304,189,2
23749,31.37651821862348,1,308,185,2
48328,31.37651821862348,1,308,185,2
134346,31.37651821862348,1,308,185,2
17619,30.97165991902834,1,304,189,2
23763,31.072874493927124,1,305,188,2
23767,31.17408906882591,3,302,189,2
138456,31.477732793522268,1,309,184,2
25818,35.931174089068826,22,311,161,2
134366,31.57894736842105,1,310,183,2
48362,37.65182186234818,48,276,170,2
17645,31.37651821862348,3,304,187,2
1261,31.17408906882591,1,306,187,2
62713,34.61538461538461,23,296,175,2
23805,31.37651821862348,1,308,185,2
1280,31.781376518218625,3,308,183,2
199938,36.94331983805668,41,283,170,2
58627,31.477732793522268,1,309,184,2
1290,30.97165991902834,1,304,189,2
136462,31.275303643724698,2,305,187,2
136464,31.072874493927124,2,303,189,2
136475,31.072874493927124,2,303,189,2
58653,30.97165991902834,1,304,189,2
38176,31.37651821862348,1,308,185,2
58666,31.072874493927124,2,303,189,2
7468,30.97165991902834,1,304,189,2
17709,31.983805668016196,4,308,182,2
54574,31.37651821862348,2,306,186,2
23855,31.781376518218625,4,306,184,2
140593,31.88259109311741,2,311,181,2
17717,31.17408906882591,1,306,187,2
32053,30.97165991902834,1,304,189,2
56630,35.020242914979754,24,298,172,2
134457,30.97165991902834,1,304,189,2
136506,31.072874493927124,1,305,188,2
17726,31.983805668016196,1,314,179,2
56655,35.931174089068826,31,293,170,2
140627,32.18623481781376,2,314,178,2
7529,31.88259109311741,2,311,181,2
136557,32.18623481781376,3,312,179,2
23920,30.97165991902834,1,304,189,2
398704,32.388663967611336,1,318,175,2
9584,32.18623481781376,3,312,179,2
38260,31.17408906882591,1,306,187,2
23930,32.28744939271255,3,313,178,2
138627,31.477732793522268,3,305,186,2
23944,35.020242914979754,27,292,175,2
136586,30.97165991902834,1,304,189,2
204174,31.781376518218625,1,312,181,2
7568,32.18623481781376,2,314,178,2
38291,30.97165991902834,1,304,189,2
15766,32.89473684210526,12,301,181,2
17828,31.68016194331984,2,309,183,2
398762,31.275303643724698,1,307,186,2
132528,31.57894736842105,3,306,185,2
38321,30.97165991902834,1,304,189,2
206264,34.61538461538461,24,294,176,2
7610,31.17408906882591,2,304,188,2
24012,31.17408906882591,1,306,187,2
132559,32.08502024291498,5,307,182,2
42455,32.79352226720648,10,304,180,2
24029,31.477732793522268,5,301,188,2
17906,30.97165991902834,1,304,189,2
60924,31.88259109311741,2,311,181,2
3585,31.37651821862348,2,306,186,2
9729,31.477732793522268,1,309,184,2
17929,31.17408906882591,1,306,187,2
58894,31.37651821862348,1,308,185,2
134672,31.781376518218625,3,308,183,2
151067,30.97165991902834,1,304,189,2
151072,30.97165991902834,1,304,189,2
38442,31.68016194331984,2,309,183,2
42541,37.65182186234818,42,288,164,2
38462,30.97165991902834,1,304,189,2
36421,31.37651821862348,1,308,185,2
136779,31.477732793522268,1,309,184,2
50763,36.23481781376518,37,284,173,2
13901,31.072874493927124,1,305,188,2
38478,31.57894736842105,2,308,184,2
38483,30.97165991902834,1,304,189,2
48728,31.477732793522268,2,307,185,2
24155,31.17408906882591,2,304,188,2
34414,30.97165991902834,1,304,189,2
24182,30.97165991902834,1,304,189,2
26237,32.08502024291498,2,313,179,2
18046,31.88259109311741,3,309,182,2
9886,32.388663967611336,2,316,176,2
24225,31.072874493927124,1,305,188,2
38577,30.97165991902834,1,304,189,2
38578,30.97165991902834,1,304,189,2
24247,30.97165991902834,1,304,189,2
46784,31.17408906882591,1,306,187,2
136897,32.89473684210526,5,315,174,2
24257,31.37651821862348,1,308,185,2
9924,33.19838056680162,4,320,170,2
61138,32.69230769230769,10,303,181,2
48858,36.53846153846154,37,287,170,2
132826,31.072874493927124,1,305,188,2
394973,31.57894736842105,1,310,183,2
38623,34.81781376518219,25,294,175,2
399077,32.28744939271255,2,315,177,2
59110,33.097165991902834,12,303,179,2
12008,31.781376518218625,2,310,182,2
9957,32.48987854251012,4,313,177,2
63210,31.17408906882591,1,306,187,2
138995,31.17408906882591,1,306,187,2
34549,38.25910931174089,46,286,162,2
24319,31.37651821862348,2,306,186,2
18179,31.072874493927124,2,303,189,2
9989,31.275303643724698,1,307,186,2
12041,34.51417004048583,20,301,173,2
18187,32.08502024291498,3,311,180,2
132876,35.121457489878544,27,293,174,2
24332,30.97165991902834,1,304,189,2
10001,31.477732793522268,2,307,185,2
10024,31.37651821862348,1,308,185,2
10029,31.88259109311741,6,303,185,2
139057,35.72874493927125,20,313,161,2
30524,31.477732793522268,1,309,184,2
134981,30.97165991902834,1,304,189,2
18258,31.275303643724698,1,307,186,2
57187,32.79352226720648,9,306,179,2
141158,30.97165991902834,1,304,189,2
10094,31.88259109311741,1,313,180,2
59248,30.97165991902834,1,304,189,2
10100,31.37651821862348,2,306,186,2
59253,31.37651821862348,1,308,185,2
59258,30.97165991902834,1,304,189,2
10111,32.388663967611336,1,318,175,2
141187,31.072874493927124,1,305,188,2
59268,31.17408906882591,2,304,188,2
141190,31.37651821862348,3,304,187,2
24456,31.072874493927124,2,303,189,2
10127,30.97165991902834,1,304,189,2
10129,30.97165991902834,1,304,189,2
10135,31.37651821862348,2,306,186,2
135069,31.983805668016196,2,312,180,2
24477,31.477732793522268,2,307,185,2
10146,31.072874493927124,1,305,188,2
38823,30.97165991902834,1,304,189,2
135081,31.072874493927124,1,305,188,2
24492,31.88259109311741,1,313,180,2
210873,31.17408906882591,3,302,189,2
10171,31.072874493927124,1,305,188,2
38862,31.072874493927124,2,303,189,2
36819,31.37651821862348,1,308,185,2
133077,31.37651821862348,1,308,185,2
10204,31.477732793522268,3,305,186,2
137182,32.08502024291498,1,315,178,2
135140,31.072874493927124,2,303,189,2
10222,31.68016194331984,1,311,182,2
51184,36.74089068825911,41,281,172,2
10231,30.97165991902834,1,304,189,2
18424,31.275303643724698,1,307,186,2
55293,31.781376518218625,1,312,181,2
327941,0.708502024291498,1,5,488,2
37057,3.0364372469635628,1,28,465,2
36974,3.340080971659919,1,31,462,2
27768,0.5060728744939271,1,3,490,2
28103,0.708502024291498,1,5,488,2
396270,1.417004048582996,1,12,481,2
19408,1.214574898785425,1,10,483,2
27376,7.287449392712551,1,70,423,2
393492,1.3157894736842106,1,11,482,2
19445,1.214574898785425,1,10,483,2
25785,1.3157894736842106,1,11,482,2
40860,7.287449392712551,1,70,423,2
11455,1.417004048582996,1,12,481,2
40146,0.8097165991902834,1,6,487,2
39060,0.5060728744939271,1,3,490,2
50063,0.5060728744939271,1,3,490,2
41696,1.417004048582996,1,12,481,2
6429,0.5060728744939271,1,3,490,2
3477,0.4048582995951417,1,2,491,2
28006,0.5060728744939271,1,3,490,2
262157,0.5060728744939271,1,3,490,2
