wins
hijacker_asn,hijacked_prefix,HPP,AS_Path,Origin_Type,time,default
25435,52.24.0.0/140,0,0,0,0,0
60503,52.24.0.0/140,0,0,0,0,0
1299,52.24.0.0/140,0,0,0,0,0
265080,52.24.0.0/140,0,0,0,0,0
133841,52.24.0.0/140,0,0,0,0,0
136255,52.24.0.0/140,0,0,0,0,0
7473,52.24.0.0/140,0,0,0,0,0
43352,52.24.0.0/140,0,0,0,0,0
6461,52.24.0.0/140,0,0,0,0,0
16509,52.24.0.0/140,0,0,0,0,0
4800,52.24.0.0/140,0,0,0,0,0
6453,52.24.0.0/140,0,0,1,0,0
3356,52.24.0.0/140,0,0,0,0,0
174,52.24.0.0/140,0,0,0,0,0
268746,52.24.0.0/140,0,0,0,0,0
13904,52.24.0.0/140,0,0,0,0,0
5511,52.24.0.0/140,0,0,0,0,0
29075,52.24.0.0/140,0,0,1,0,0
2914,52.24.0.0/140,1,0,0,0,0
43350,52.24.0.0/140,0,0,1,0,0
6762,52.24.0.0/140,0,0,1,0,0
9304,52.24.0.0/140,0,0,0,0,0
4635,52.24.0.0/140,0,0,0,0,0
23673,129.123.0.0/160,5,0,0,0,0
34984,129.123.0.0/160,5,0,0,0,0
25435,129.123.0.0/160,0,0,0,0,0
60503,129.123.0.0/160,0,0,0,0,0
1299,129.123.0.0/160,5,0,0,0,0
265080,129.123.0.0/160,0,0,0,0,0
133841,129.123.0.0/160,0,0,0,0,0
136255,129.123.0.0/160,0,0,1,0,0
7473,129.123.0.0/160,5,0,0,0,0
43352,129.123.0.0/160,0,0,0,0,0
6461,129.123.0.0/160,5,0,0,0,0
16509,129.123.0.0/160,5,0,0,0,0
4800,129.123.0.0/160,1,0,0,0,0
6453,129.123.0.0/160,5,0,0,0,0
3356,129.123.0.0/160,5,0,0,0,0
174,129.123.0.0/160,0,0,0,0,0
268746,129.123.0.0/160,0,0,0,0,0
13904,129.123.0.0/160,5,0,0,0,0
5511,129.123.0.0/160,5,0,0,0,0
29075,129.123.0.0/160,5,0,0,0,0
2914,129.123.0.0/160,5,0,0,0,0
43350,129.123.0.0/160,5,0,0,0,0
6762,129.123.0.0/160,5,0,0,0,0
9304,129.123.0.0/160,1,0,0,0,0
4635,129.123.0.0/160,1,0,0,0,0
23673,151.101.128.0/220,0,0,0,0,0
34984,151.101.128.0/220,0,0,0,0,0
25435,151.101.128.0/220,0,0,0,0,0
60503,151.101.128.0/220,0,0,0,0,0
1299,151.101.128.0/220,0,0,0,0,0
265080,151.101.128.0/220,0,0,0,0,0
133841,151.101.128.0/220,0,0,0,0,0
136255,151.101.128.0/220,0,0,0,0,0
7473,151.101.128.0/220,0,0,0,0,0
43352,151.101.128.0/220,0,0,0,0,0
6461,151.101.128.0/220,0,0,0,0,0
16509,151.101.128.0/220,0,0,0,0,0
4800,151.101.128.0/220,0,0,0,0,0
6453,151.101.128.0/220,0,0,0,0,0
3356,151.101.128.0/220,0,0,0,0,0
174,151.101.128.0/220,0,0,0,0,0
268746,151.101.128.0/220,0,0,0,0,0
13904,151.101.128.0/220,0,0,0,0,0
5511,151.101.128.0/220,0,0,0,0,0
2914,151.101.128.0/220,1,0,0,0,0
9304,151.101.128.0/220,0,0,1,0,0
4635,151.101.128.0/220,1,0,0,0,0
